,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
298,,Under Graduate,Less than 20 Yrs. ,Female,200000,7,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
299,,Under Graduate,Less than 20 Yrs. ,Male,500000,4,Your own decision,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
300,,Under Graduate,Less than 20 Yrs. ,Female,100000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
301,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
302,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Family/Society,Career Prospects,Online Resources,Yes,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
303,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Family/Society,Parental Expectations,Family Members,Not Sure,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
304,,Post Graduate,More than 25 Yrs.,Male,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
305,,Under Graduate,Less than 20 Yrs. ,Female,500000,6,Your own decision,Career Prospects,Family Members,No,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
306,,Under Graduate,21-25 Yrs.,Female,200000,4,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
307,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Online Resources,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
308,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
309,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Career Prospects,Academic Advisors,Yes,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
310,,Under Graduate,Less than 20 Yrs. ,Male,200000,8,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
311,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Family/Society,Personal Interest,Online Resources,Yes,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
312,,Under Graduate,Less than 20 Yrs. ,Female,200000,3,Family/Society,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
313,,Senior Secondary,Less than 20 Yrs. ,Male,800000,8,Your own decision,Personal Interest,Online Resources,No,Financial Stability,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
314,,Senior Secondary,Less than 20 Yrs. ,Male,100000,3,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
315,,Senior Secondary,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Family Members,Not Sure,Career Preferences,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
316,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Friends/Peer group,Career Prospects,Online Resources,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
317,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,5,Your own decision,Career Prospects,Academic Advisors,Yes,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
318,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,4,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
319,,Senior Secondary,Less than 20 Yrs. ,Male,100000,2,Your own decision,Personal Interest,Family Members,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
320,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,4,Your own decision,Career Prospects,Family Members,Yes,Hobbies/interest areas,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
321,,Senior Secondary,Less than 20 Yrs. ,Male,800000,9,Friends/Peer group,Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Relieved,Neutral,Minor_swing,Positive_swing,Neutral_zone
322,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,4,Family/Society,Career Prospects,Family Members,Yes,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
323,,Professional,More than 25 Yrs.,Female,1000000,4,Family/Society,Personal Interest,Academic Advisors,Yes,Financial Stability,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
324,,Senior Secondary,Less than 20 Yrs. ,Female,800000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
325,,Professional,More than 25 Yrs.,Female,100000,9,Family/Society,Career Prospects,Academic Advisors,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
326,,Under Graduate,21-25 Yrs.,Female,100000,3,Your own decision,Personal Interest,Friends and Peers,No,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
327,,Post Graduate,21-25 Yrs.,Female,300000,3,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
328,,Post Graduate,More than 25 Yrs.,Female,1000000,4,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
329,,Under Graduate,21-25 Yrs.,Male,200000,4,Your own decision,Personal Interest,Friends and Peers,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
330,,Under Graduate,More than 25 Yrs.,Female,200000,7,Family/Society,Parental Expectations,Online Resources,Yes,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
331,,Post Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Personal Interest,Academic Advisors,No,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
332,,Under Graduate,Less than 20 Yrs. ,Female,1000000,3,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
333,,Under Graduate,21-25 Yrs.,Female,500000,5,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
334,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Academic Advisors,No,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
335,,Post Graduate,21-25 Yrs.,Female,1000000,5,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
336,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Previous Students' Experiences,Not Sure,Career Preferences,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
337,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Family/Society,Career Prospects,Academic Advisors,Not Sure,Family Professional Goals,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
338,,Under Graduate,21-25 Yrs.,Female,300000,3,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
339,,Under Graduate,Less than 20 Yrs. ,Female,300000,6,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
340,,Professional,More than 25 Yrs.,Male,800000,6,Friends/Peer group,Personal Interest,Family Members,Yes,Financial Stability,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
341,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
342,,Senior Secondary,Less than 20 Yrs. ,Female,300000,3,Family/Society,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
343,,Senior Secondary,Less than 20 Yrs. ,Female,500000,3,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
344,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
345,,Senior Secondary,Less than 20 Yrs. ,Female,200000,9,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
346,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Your own decision,Personal Interest,Online Resources,No,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
347,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Previous Students' Experiences,No,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
348,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
349,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
350,,Under Graduate,21-25 Yrs.,Female,800000,6,Your own decision,Career Prospects,Family Members,Not Sure,Career Preferences,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
351,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Your own decision,Career Prospects,Friends and Peers,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
352,,Senior Secondary,Less than 20 Yrs. ,Female,800000,7,Your own decision,Career Prospects,Family Members,Not Sure,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
353,,Professional,More than 25 Yrs.,Male,1000000,5,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
354,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
355,,Under Graduate,Less than 20 Yrs. ,Male,1000000,5,Teachers,Academic Performance,Academic Advisors,No,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
356,,Senior Secondary,Less than 20 Yrs. ,Female,500000,5,Family/Society,Parental Expectations,Online Resources,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
357,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
358,,Post Graduate,21-25 Yrs.,Female,300000,3,Your own decision,Personal Interest,Friends and Peers,No,Financial Stability,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
359,,Under Graduate,Less than 20 Yrs. ,Female,800000,5,Family/Society,Parental Expectations,Academic Advisors,Not Sure,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
360,,Post Graduate,21-25 Yrs.,Male,300000,4,Your own decision,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
361,,Senior Secondary,Less than 20 Yrs. ,Female,800000,6,Family/Society,Career Prospects,Academic Advisors,Yes,Career Preferences,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
362,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
363,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
364,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
365,,Senior Secondary,Less than 20 Yrs. ,Female,500000,5,Your own decision,Parental Expectations,Academic Advisors,Yes,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
366,,Professional,More than 25 Yrs.,Male,800000,5,Your own decision,Personal Interest,Family Members,Yes,Financial Stability,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
367,,Senior Secondary,Less than 20 Yrs. ,Female,800000,5,Your own decision,Career Prospects,Family Members,Yes,Financial Stability,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
368,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
369,,Senior Secondary,Less than 20 Yrs. ,Female,800000,5,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
370,,Post Graduate,21-25 Yrs.,Female,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
371,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
372,,Senior Secondary,Less than 20 Yrs. ,Female,200000,8,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
373,,Under Graduate,Less than 20 Yrs. ,Male,300000,6,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
374,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Family/Society,Career Prospects,Academic Advisors,Yes,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
375,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
376,,Under Graduate,Less than 20 Yrs. ,Male,500000,8,Your own decision,Parental Expectations,Academic Advisors,Yes,Family Professional Goals,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
377,,Under Graduate,Less than 20 Yrs. ,Female,300000,7,Your own decision,Career Prospects,Online Resources,Yes,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
378,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
379,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
380,,Under Graduate,Less than 20 Yrs. ,Female,300000,6,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
381,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Academic Advisors,No,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
382,,Under Graduate,Less than 20 Yrs. ,Female,1000000,7,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
383,,Under Graduate,21-25 Yrs.,Male,500000,4,Your own decision,Personal Interest,Online Resources,Yes,Family Professional Goals,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
384,,Under Graduate,Less than 20 Yrs. ,Female,100000,4,Your own decision,Parental Expectations,Friends and Peers,No,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
385,,Senior Secondary,Less than 20 Yrs. ,Male,200000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
386,,Under Graduate,Less than 20 Yrs. ,Female,800000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
387,,Under Graduate,21-25 Yrs.,Male,300000,3,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
388,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Financial Stability,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
389,,Under Graduate,Less than 20 Yrs. ,Male,1000000,4,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
390,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Personal Interest,Friends and Peers,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
391,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Friends and Peers,Not Sure,Career Preferences,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
392,,Under Graduate,Less than 20 Yrs. ,Female,800000,5,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
393,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
394,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Relieved,Neutral,Minor_swing,Positive_swing,Neutral_zone
395,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
396,,Under Graduate,Less than 20 Yrs. ,Female,1000000,5,Your own decision,Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
397,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
398,,Under Graduate,Less than 20 Yrs. ,Female,200000,3,Your own decision,Personal Interest,Friends and Peers,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
399,,Under Graduate,Less than 20 Yrs. ,Female,100000,4,Your own decision,Personal Interest,Friends and Peers,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
400,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
401,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Career Prospects,Friends and Peers,No,Financial Stability,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
402,,Under Graduate,Less than 20 Yrs. ,Female,800000,9,Your own decision,Career Prospects,Academic Advisors,Not Sure,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
403,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Academic Performance,Online Resources,Not Sure,Hobbies/interest areas,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
404,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
405,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Friends and Peers,No,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
406,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
407,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Family Members,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
408,,Under Graduate,Less than 20 Yrs. ,Female,200000,3,Teachers,Career Prospects,Academic Advisors,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
409,,Under Graduate,Less than 20 Yrs. ,Female,1000000,3,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
410,,Under Graduate,Less than 20 Yrs. ,Male,500000,4,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
411,,Under Graduate,Less than 20 Yrs. ,Male,100000,6,Your own decision,Personal Interest,Academic Advisors,Yes,Recent Trends,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
412,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Academic Performance,Academic Advisors,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
413,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Friends and Peers,Not Sure,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
414,,Under Graduate,Less than 20 Yrs. ,Male,500000,3,Your own decision,Career Prospects,Online Resources,No,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
415,,Under Graduate,21-25 Yrs.,Female,800000,6,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
416,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Career Prospects,Family Members,Yes,Hobbies/interest areas,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
417,,Under Graduate,Less than 20 Yrs. ,Male,1000000,3,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
418,,Under Graduate,Less than 20 Yrs. ,Male,800000,5,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
419,,Under Graduate,Less than 20 Yrs. ,Male,800000,5,Your own decision,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
420,,Senior Secondary,Less than 20 Yrs. ,Male,800000,5,Your own decision,Parental Expectations,Online Resources,Yes,Family Professional Goals,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
421,,Under Graduate,Less than 20 Yrs. ,Female,1000000,3,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
422,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Academic Advisors,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
423,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Your own decision,Career Prospects,Previous Students' Experiences,No,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
424,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Family/Society,Personal Interest,Family Members,Not Sure,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
425,,Under Graduate,Less than 20 Yrs. ,Male,500000,6,Subject Matter Expert (SME),Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
426,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Career Prospects,Family Members,Yes,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
427,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Teachers,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
428,,Under Graduate,Less than 20 Yrs. ,Male,500000,5,Teachers,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
429,,Under Graduate,Less than 20 Yrs. ,Male,800000,5,Your own decision,Career Prospects,Previous Students' Experiences,No,Career Preferences,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
430,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Career Prospects,Family Members,Yes,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
431,,Under Graduate,21-25 Yrs.,Male,100000,5,Family/Society,Career Prospects,Family Members,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
432,,Under Graduate,Less than 20 Yrs. ,Male,1000000,5,Family/Society,Parental Expectations,Family Members,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
433,,Under Graduate,Less than 20 Yrs. ,Male,500000,5,Your own decision,Career Prospects,Friends and Peers,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
434,,Under Graduate,Less than 20 Yrs. ,Male,200000,7,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
435,,Under Graduate,Less than 20 Yrs. ,Male,300000,5,Your own decision,Career Prospects,Online Resources,No,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
436,,Under Graduate,Less than 20 Yrs. ,Male,800000,4,Family/Society,Personal Interest,Online Resources,Not Sure,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
437,,Under Graduate,Less than 20 Yrs. ,Female,800000,5,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
438,,Under Graduate,21-25 Yrs.,Male,500000,5,Family/Society,Career Prospects,Previous Students' Experiences,No,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
439,,Under Graduate,Less than 20 Yrs. ,Female,100000,6,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
440,,Under Graduate,Less than 20 Yrs. ,Male,500000,7,Family/Society,Academic Performance,Family Members,Not Sure,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
441,,Under Graduate,Less than 20 Yrs. ,Male,200000,2,Family/Society,Personal Interest,Online Resources,Not Sure,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
442,,Under Graduate,21-25 Yrs.,Male,500000,7,Your own decision,Personal Interest,Family Members,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
